Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
12	14:20:22.340	00:00:00.011	0	557,262	623,3776	0,6727594	0,3465728	646,0975	4,041909	0	562,2806	612,1517	0,3965921	0,3445904	649,894	4,012102	0	0	560	618						No media	0	1280	1024	0	0	556	619	91	0	Content		560	618	11559	416302699	
32	14:20:22.360	00:00:00.031	1	559,8963	634,1866	0,6728985	0,3460106	648,2874	4,048967	0	554,7898	605,0933	0,3967718	0,3440151	649,9239	4,008324	0	0	557	620						No media	0	1280	1024	0	0	556	619	91	0	Content		557	620	31516	416322656	
51	14:20:22.379	00:00:00.051	2	559,1526	622,498	0,6730682	0,3457442	648,2874	4,07977	0	550,4969	623,4507	0,396919	0,3437428	649,9239	4,016291	0	0	555	623						No media	0	1280	1024	0	0	556	619	91	0	Content		555	623	51433	416342573	
71	14:20:22.399	00:00:00.071	3	569,6052	645,0636	0,6733187	0,3457897	648,2874	4,052629	0	545,0042	619,2549	0,3970363	0,3437395	649,9239	4,027593	0	0	557	632						No media	0	1280	1024	0	0	556	619	91	0	Content		557	632	71248	416362388	
91	14:20:22.419	00:00:00.091	4	605,6443	588,5357	0,6727561	0,34568	648,2874	4,048623	0	626,9575	577,4291	0,396825	0,3436048	649,9239	3,996447	0	1	616	583						No media	0	1280	1024	0	0	793	519	299	0	Content		616	583	91312	416382452	
111	14:20:22.439	00:00:00.111	5	745,5548	526,5629	0,6711414	0,3456038	648,2874	4,132157	0	763,1686	525,7881	0,3957025	0,3432728	649,9239	4,015574	0	1	754	526						No media	0	1280	1024	0	0	793	519	299	0	Content		754	526	111308	416402448	
131	14:20:22.459	00:00:00.131	6	775,4849	509,1232	0,6708464	0,3460054	651,303	4,140466	0	795,6959	510,8168	0,3956277	0,3437411	647,0764	3,996398	0	1	786	510						No media	0	1280	1024	0	0	793	519	299	0	Content		786	510	131161	416422301	
151	14:20:22.479	00:00:00.151	7	782,9108	533,1429	0,6713353	0,3466215	651,303	4,148906	0	797,9309	517,8871	0,3959225	0,3442089	647,0764	3,935651	0	1	790	526						No media	0	1280	1024	0	0	793	519	299	0	Content		790	526	151035	416442175	
171	14:20:22.499	00:00:00.171	8	776,5403	545,3005	0,6716989	0,346763	651,303	4,121816	0	810,1952	502,2942	0,3961227	0,3445063	647,0764	3,959079	0	1	793	524						No media	0	1280	1024	0	0	793	519	299	0	Content		793	524	171026	416462166	
191	14:20:22.519	00:00:00.190	9	797,0094	520,1398	0,6718913	0,3467807	651,303	4,10142	0	803,399	505,5765	0,3961605	0,3444106	647,0764	3,940379	0	1	800	513						No media	0	1280	1024	0	0	793	519	299	0	Content		800	513	190900	416482040	
211	14:20:22.539	00:00:00.210	10	779,3127	530,904	0,6717386	0,3465637	651,303	4,0546	0	801,2966	508,3535	0,3959805	0,343933	647,0764	3,927065	0	1	790	520						No media	0	1280	1024	0	0	793	519	299	0	Content		790	520	210898	416502038	
231	14:20:22.559	00:00:00.230	11	783,9565	533,1605	0,6714007	0,3460911	649,6726	4,018359	0	806,9244	510,9987	0,3955324	0,3435837	647,2303	3,934292	0	1	795	522						No media	0	1280	1024	0	0	793	519	299	0	Content		795	522	230904	416522044	
251	14:20:22.579	00:00:00.250	12	796,1526	507,7036	0,6709101	0,3455378	649,6726	4,05922	0	792,1818	527,9868	0,3949456	0,3429973	647,2303	3,965221	0	1	794	518						No media	0	1280	1024	0	0	793	519	299	0	Content		794	518	250768	416541908	
271	14:20:22.599	00:00:00.270	13	786,9742	525,6824	0,6704947	0,3448893	649,6726	4,109132	0	809,2904	515,8365	0,394558	0,3427507	647,2303	3,880569	0	1	798	521						No media	0	1280	1024	0	0	793	519	299	0	Content		798	521	270643	416561783	
291	14:20:22.619	00:00:00.290	14	784,2241	519,1703	0,6700307	0,3446777	649,6726	4,074819	0	793,9843	497,7709	0,3940755	0,3425931	647,2303	3,914297	0	1	789	508						No media	0	1280	1024	0	0	793	519	299	0	Content		789	508	290650	416581790	
311	14:20:22.639	00:00:00.310	15	800,348	520,8941	0,669876	0,344641	649,6726	3,99125	0	800,1858	500,875	0,3939199	0,3425795	647,2303	3,834209	0	1	800	511						No media	0	1280	1024	0	0	793	519	299	0	Content		800	511	310522	416601662	
331	14:20:22.659	00:00:00.330	16	790,0164	515,3864	0,6698774	0,3446403	651,0747	4,010303	0	804,9546	504,8045	0,3938484	0,3426246	646,3362	3,82489	0	1	797	510						No media	0	1280	1024	0	0	793	519	299	0	Content		797	510	330505	416621645	
350	14:20:22.678	00:00:00.350	17	781,3359	542,1996	0,6699325	0,3447391	651,0747	3,873981	0	808,2734	498,4984	0,3940057	0,3427872	646,3362	3,795114	0	1	795	520						No media	0	1280	1024	0	0	793	519	299	0	Content		795	520	350380	416641520	
370	14:20:22.698	00:00:00.370	18	798,3138	520,2184	0,6702014	0,3449112	651,0747	3,924182	0	794,8992	517,2017	0,3940644	0,3427897	646,3362	3,741688	0	1	797	519						No media	0	1280	1024	0	0	793	519	299	0	Content		797	519	370276	416661416	
390	14:20:22.718	00:00:00.390	19	682,2849	437,7266	0,6711736	0,344222	651,0747	3,800306	0	711,8652	459,0467	0,3954571	0,3418792	646,3362	3,721112	0	2	697	448						No media	0	1280	1024	0	0	663	392	379	0	Content		697	448	390174	416681314	
410	14:20:22.738	00:00:00.410	20	637,8124	397,3702	0,6713786	0,3437394	651,0747	3,80195	0	675,7703	431,7718	0,3961597	0,3410551	646,3362	3,665265	0	2	657	415						No media	0	1280	1024	0	0	663	392	379	0	Content		657	415	410204	416701344	
430	14:20:22.758	00:00:00.430	21	596,3452	363,8474	0,6714164	0,3434629	648,5814	3,789527	0	640,3346	419,231	0,3961224	0,3409391	647,0949	3,637049	0	2	618	392						No media	0	1280	1024	0	0	663	392	379	0	Content		618	392	430072	416721212	
450	14:20:22.778	00:00:00.450	22	652,3602	417,5902	0,6713632	0,3428568	648,5814	3,689667	0	660,0779	403,4414	0,395832	0,3404764	647,0949	3,723144	0	2	656	411						No media	0	1280	1024	0	0	663	392	379	0	Content		656	411	450060	416741200	
470	14:20:22.798	00:00:00.469	23	664,0528	381,092	0,6712663	0,3424422	648,5814	3,6727	0	664,5065	390,4731	0,3954954	0,3398983	647,0949	3,716613	0	2	664	386						No media	0	1280	1024	0	0	663	392	379	0	Content		664	386	469965	416761105	
490	14:20:22.818	00:00:00.489	24	658,2002	386,964	0,6711003	0,3419611	648,5814	3,705962	0	685,0323	400,429	0,395285	0,3394962	647,0949	3,668156	0	2	672	394						No media	0	1280	1024	0	0	663	392	379	0	Content		672	394	489826	416780966	
499	14:20:22.827																				ImageStart	8	0	0	gehirn_eyetracking.jpg																	
510	14:20:22.838	00:00:00.509	25	642,0818	396,8254	0,6708116	0,341839	648,5814	3,661089	0	672,8506	399,2411	0,3949184	0,3391334	647,0949	3,675965	0	2	657	398						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		417	186	509808	416800948	
530	14:20:22.858	00:00:00.529	26	648,5621	377,1493	0,6706624	0,3419124	649,1773	3,67156	0	681,9508	395,9902	0,3947433	0,3392897	648,1409	3,689523	0	2	665	387						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		425	175	529818	416820958	
550	14:20:22.878	00:00:00.549	27	659,3464	395,2097	0,6704913	0,3420386	649,1773	3,781508	0	668,0808	404,4507	0,3945045	0,339507	648,1409	3,658529	0	2	664	400						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		424	188	549688	416840828	
570	14:20:22.898	00:00:00.569	28	654,718	373,1182	0,6701695	0,3425513	649,1773	3,772241	0	657,1439	378,897	0,3941451	0,3398418	648,1409	3,684727	0	2	656	376						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		416	164	569549	416860689	
590	14:20:22.918	00:00:00.589	29	655,8833	393,9218	0,6699111	0,3427927	649,1773	3,698806	0	672,4863	402,5713	0,3940009	0,3399678	648,1409	3,759275	0	2	664	398						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		424	186	589617	416880757	
609	14:20:22.937	00:00:00.609	30	669,7861	382,4986	0,6698166	0,3427717	649,1773	3,753209	0	681,3972	402,4346	0,3937932	0,3400832	648,1409	3,761943	0	2	676	392						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		436	180	609420	416900560	
629	14:20:22.957	00:00:00.629	31	670,8217	378,5261	0,6696229	0,3427373	648,041	3,721558	0	680,5222	401,2552	0,3935979	0,3401586	645,5669	3,750175	0	2	676	390						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		436	178	629434	416920574	
649	14:20:22.977	00:00:00.649	32	661,1759	375,5263	0,6695327	0,3423059	648,041	3,823933	0	656,3861	376,5521	0,393445	0,3399193	645,5669	3,752214	0	2	659	376						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		419	164	649290	416940430	
669	14:20:22.997	00:00:00.669	33	649,0455	378,993	0,6695256	0,3418522	648,041	3,764291	0	660,5663	389,6951	0,3934762	0,3395745	645,5669	3,749779	0	2	655	384						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		415	172	669261	416960401	
689	14:20:23.017	00:00:00.689	34	664,5305	396,515	0,6695344	0,3413869	648,041	3,851891	0	663,9465	404,2952	0,3934589	0,3390048	645,5669	3,845829	0	2	664	400						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		424	188	689174	416980314	
709	14:20:23.037	00:00:00.709	35	669,2373	377,4119	0,6695378	0,3409449	648,041	3,960692	0	655,9443	390,5984	0,3934863	0,3388053	645,5669	3,904156	0	2	663	384						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		423	172	709154	417000294	
729	14:20:23.057	00:00:00.729	36	667,3474	380,5634	0,6695207	0,3408702	649,4979	3,972772	0	659,5425	392,6606	0,3935424	0,338669	646,9704	3,947882	0	2	663	387						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		423	175	729026	417020166	
749	14:20:23.077	00:00:00.749	37	634,1661	393,6966	0,6694068	0,3408918	649,4979	4,02221	0	667,8663	388,9187	0,3934749	0,3387484	646,9704	3,978896	0	2	651	391						gehirn_eyetracking.jpg	0	800	600	240	212	423	180	379	0	Content		411	179	749047	417040187	
769	14:20:23.097	00:00:00.768	38	660,1893	398,6364	0,6692923	0,3412785	649,4979	3,978902	0	664,1046	424,4327	0,3933726	0,3389999	646,9704	4,00665	0	3	662	412						gehirn_eyetracking.jpg	0	800	600	240	212	449	221	239	0	Content		422	200	768894	417060034	
789	14:20:23.117	00:00:00.788	39	699,2992	456,1261	0,6689714	0,3422205	649,4979	4,02195	0	689,9747	454,4615	0,3933199	0,3399272	646,9704	3,966244	0	3	695	455						gehirn_eyetracking.jpg	0	800	600	240	212	449	221	239	0	Content		455	243	788801	417079941	
809	14:20:23.137	00:00:00.808	40	704,8505	445,8993	0,6690695	0,3429521	649,4979	4,00185	0	685,633	438,5655	0,3933131	0,340831	646,9704	3,931039	0	3	695	442						gehirn_eyetracking.jpg	0	800	600	240	212	449	221	239	0	Content		455	230	808774	417099914	
829	14:20:23.157	00:00:00.828	41	709,3433	434,5406	0,6690687	0,3436978	650,5387	3,995435	0	691,8383	450,919	0,3933278	0,3414237	647,8487	3,935978	0	3	701	443						gehirn_eyetracking.jpg	0	800	600	240	212	449	221	239	0	Content		461	231	828742	417119882	
