Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
10	14:28:38.635	00:00:00.010	0	621,0802	432,071	0,6202295	0,4522024	640,5516	3,890388	0	630,9279	468,3597	0,3537495	0,4380136	637,6181	3,939143	0	0	626	450						No media	0	1280	1024	0	0	621	451	469	0	Content		626	450	10092	912580689	
30	14:28:38.655	00:00:00.029	1	607,111	453,7848	0,6199646	0,4521801	640,5516	3,929083	0	628,3973	465,1668	0,353463	0,4381111	637,6181	3,959916	0	0	618	459						No media	0	1280	1024	0	0	621	451	469	0	Content		618	459	29949	912600546	
50	14:28:38.675	00:00:00.049	2	602,4154	452,1169	0,6196516	0,4522926	640,5516	3,897276	0	627,0289	446,8722	0,3531395	0,4385145	637,6181	3,939379	0	0	615	449						No media	0	1280	1024	0	0	621	451	469	0	Content		615	449	49915	912620512	
70	14:28:38.695	00:00:00.069	3	624,1716	466,1243	0,6194812	0,4523288	640,5516	3,924712	0	636,3878	435,0215	0,3529385	0,4388248	637,6181	3,970772	0	0	630	451						No media	0	1280	1024	0	0	621	451	469	0	Content		630	451	69793	912640390	
90	14:28:38.715	00:00:00.089	4	617,3857	466,8956	0,6191284	0,452398	641,8644	3,920393	0	634,8228	427,4489	0,3525889	0,4389094	637,0685	3,964244	0	0	626	447						No media	0	1280	1024	0	0	621	451	469	0	Content		626	447	89791	912660388	
110	14:28:38.735	00:00:00.109	5	603,9426	453,8309	0,6188986	0,4523717	641,8644	4,006548	0	620,6409	456,1199	0,3523757	0,4389222	637,0685	4,024949	0	0	612	455						No media	0	1280	1024	0	0	621	451	469	0	Content		612	455	109649	912680246	
130	14:28:38.755	00:00:00.129	6	614,4359	435,4734	0,6188553	0,4522873	641,8644	3,955911	0	635,7397	452,6681	0,3523449	0,4388615	637,0685	3,988932	0	0	625	444						No media	0	1280	1024	0	0	621	451	469	0	Content		625	444	129668	912700265	
150	14:28:38.775	00:00:00.149	7	613,9287	457,2701	0,6188781	0,4521218	641,8644	3,971638	0	634,5312	445,4606	0,3523501	0,4387109	637,0685	4,015873	0	0	624	451						No media	0	1280	1024	0	0	621	451	469	0	Content		624	451	149552	912720149	
169	14:28:38.794	00:00:00.169	8	609,2324	479,851	0,6189494	0,4519832	641,8644	4,00223	0	632,4596	457,6117	0,3524441	0,43851	637,0685	3,982513	0	0	621	469						No media	0	1280	1024	0	0	621	451	469	0	Content		621	469	169435	912740032	
189	14:28:38.814	00:00:00.189	9	612,9913	479,4733	0,619133	0,4520994	641,286	3,977021	0	639,1586	456,3102	0,3526242	0,4385223	636,2919	3,984661	0	0	626	468						No media	0	1280	1024	0	0	621	451	469	0	Content		626	468	189416	912760013	
201	14:28:38.826																				ImageStart	8	0	0	gehirn_eyetracking.jpg																	
209	14:28:38.834	00:00:00.209	10	606,5547	437,6841	0,6192595	0,4522574	641,286	3,919386	0	628,5962	442,6477	0,3528115	0,4386454	636,2919	3,95031	0	0	618	440						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		378	228	209260	912779857	
229	14:28:38.854	00:00:00.229	11	618,6857	463,6184	0,6193824	0,4523574	641,286	3,845684	0	632,0547	454,3119	0,3529373	0,4387539	636,2919	3,901794	0	0	625	459						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		385	247	229273	912799870	
249	14:28:38.874	00:00:00.249	12	625,5211	459,7076	0,619424	0,4524204	641,286	3,823417	0	638,0673	446,549	0,3529757	0,438801	636,2919	3,885267	0	0	632	453						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		392	241	249261	912819858	
269	14:28:38.894	00:00:00.269	13	626,1629	449,8246	0,6193562	0,4524171	641,286	3,742957	0	637,94	458,8498	0,3529527	0,4388192	636,2919	3,867328	0	0	632	454						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		392	242	269172	912839769	
289	14:28:38.914	00:00:00.289	14	627,7841	463,6561	0,6192375	0,4523938	640,9104	3,699199	0	638,0705	459,1518	0,3527838	0,4387877	635,5375	3,845926	0	0	633	461						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		393	249	289119	912859716	
309	14:28:38.934	00:00:00.309	15	612,1017	431,1285	0,6191151	0,4523464	640,9104	3,702876	0	630,9386	437,2008	0,3526817	0,4388146	635,5375	3,795394	0	0	622	434						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		382	222	309025	912879622	
329	14:28:38.954	00:00:00.328	16	607,9667	429,5526	0,6190342	0,4522943	640,9104	3,679199	0	622,8039	441,3318	0,3525672	0,438772	635,5375	3,748957	0	0	615	435						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		375	223	328862	912899459	
349	14:28:38.974	00:00:00.348	17	613,4886	451,5468	0,6190429	0,4522096	640,9104	3,670157	0	628,0261	457,5821	0,3525499	0,4386372	635,5375	3,732411	0	0	621	455						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		381	243	348879	912919476	
369	14:28:38.994	00:00:00.368	18	611,3889	441,1419	0,619112	0,4519086	640,9104	3,600751	0	627,7433	478,2762	0,3526304	0,4382733	635,5375	3,7485	0	0	620	460						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		380	248	368759	912939356	
389	14:28:39.014	00:00:00.388	19	610,2648	447,0026	0,6192665	0,4517214	640,6517	3,576748	0	628,9001	484,0305	0,352771	0,4381515	637,3181	3,752951	0	0	620	466						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		380	254	388753	912959350	
409	14:28:39.034	00:00:00.408	20	632,8651	465,4394	0,6194635	0,4516026	640,6517	3,59925	0	642,012	465,627	0,3529969	0,4380247	637,3181	3,701029	0	0	637	466						gehirn_eyetracking.jpg	0	800	600	240	212	381	239	469	0	Content		397	254	408656	912979253	
