Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
29979	16:01:03.416	00:00:29.978	1504	548,6186	501,3673	0,7216843	0,3400093	603,4715	3,479095	0	577,4222	480,1073	0,4024363	0,3554342	599,8586	3,448171	0	71	563	491						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		435	363	29978666	988838101
29999	16:01:03.436	00:00:29.998	1505	565,9672	475,1516	0,7214256	0,3398845	603,4715	3,565894	0	571,4099	451,1131	0,4023021	0,3553272	599,8586	3,402766	0	71	569	463						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		441	335	29998645	988858080
30019	16:01:03.456	00:00:30.018	1506	567,065	460,1068	0,7212062	0,3397399	603,4715	3,546242	0	576,9575	461,1513	0,4021433	0,3552501	599,8586	3,53654	0	71	572	461						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		444	333	30018526	988877961
30039	16:01:03.476	00:00:30.038	1507	564,2052	467,483	0,7210316	0,3395678	602,6373	3,555324	0	576,9539	446,8698	0,4018969	0,3552148	599,176	3,525477	0	71	571	457						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		443	329	30038519	988897954
30058	16:01:03.495	00:00:30.058	1508	564,092	479,0322	0,7209241	0,3395309	602,6373	3,450016	0	574,9964	524,816	0,4017903	0,3552332	599,176	3,295788	0	71	570	502						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		442	374	30058420	988917855
30078	16:01:03.515	00:00:30.078	1509	560,6271	562,8845	0,7209044	0,3395593	602,6373	3,598286	0	559,6648	485,0781	0,4018045	0,3552656	599,176	3,470722	0	71	560	524						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		432	396	30078366	988937801
30098	16:01:03.535	00:00:30.098	1510	551,5886	484,1292	0,7209691	0,3396001	602,6373	3,508612	0	566,3622	484,0751	0,4019415	0,3552594	599,176	3,382234	0	71	559	484						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		431	356	30098292	988957727
30118	16:01:03.555	00:00:30.118	1511	561,9697	464,8028	0,7210417	0,3396038	602,6373	3,487601	0	583,3821	475,3959	0,4020784	0,3552271	599,176	3,380176	0	71	573	470						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		445	342	30118255	988977690
30138	16:01:03.575	00:00:30.138	1512	560,6465	483,257	0,7210737	0,3396102	603,8033	3,549051	0	577,6293	471,118	0,4020849	0,3551807	599,35	3,379062	0	71	569	477						texte_5.png	0	1024	768	128	128	435	356	718	0	Content		441	349	30138112	988997547
30158	16:01:03.595	00:00:30.158	1513	447,2065	398,3585	0,7216675	0,3384379	603,8033	3,477973	0	492,5788	409,8122	0,4035475	0,3535926	599,35	3,448183	0	72	470	404						texte_5.png	0	1024	768	128	128	331	173	1515	0	Content		342	276	30158161	989017596
30178	16:01:03.615	00:00:30.177	1514	411,6459	333,0158	0,7214273	0,3371055	603,8033	3,486857	0	445,7569	334,8859	0,4044691	0,352367	599,35	3,340255	0	72	429	334						texte_5.png	0	1024	768	128	128	331	173	1515	0	Content		301	206	30177987	989037422
30198	16:01:03.635	00:00:30.198	1515	431,8738	343,242	0,7213315	0,3371384	603,8033	3,407446	0	420,044	324,2307	0,4038979	0,3524251	599,35	3,339059	0	72	426	334						texte_5.png	0	1024	768	128	128	331	173	1515	0	Content		298	206	30198021	989057456
30218	16:01:03.655	00:00:30.217	1516	428,3953	310,9746	0,7212201	0,3370808	603,8033	3,5174	0	429,146	320,5534	0,4036669	0,3523778	599,35	3,327281	0	72	429	316						texte_5.png	0	1024	768	128	128	331	173	1515	0	Content		301	188	30217860	989077295
30238	16:01:03.675	00:00:30.237	1517	430,5208	310,8122	0,7210715	0,3370879	602,4232	3,497558	0	414,9537	315,3711	0,4033106	0,3523749	599,5859	3,323816	0	72	423	313						texte_5.png	0	1024	768	128	128	331	173	1515	0	Content		295	185	30237721	989097156
