Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
48176	16:01:21.613	00:00:48.176	2417	938,5271	832,2728	0,7058524	0,3551192	602,8718	3,47285	0	956,1956	807,7933	0,3876413	0,3708493	600,5159	3,225741	0	119	947	820						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		819	692	48176253	1007035688
48196	16:01:21.633	00:00:48.196	2418	916,8616	849,8263	0,7058759	0,3551323	602,8718	3,454653	0	924,9043	848,2283	0,3875762	0,3708472	600,5159	3,377808	0	119	921	849						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		793	721	48196128	1007055563
48216	16:01:21.653	00:00:48.216	2419	941,4352	827,2748	0,7058114	0,3551645	602,8718	3,457805	0	951,2057	794,4828	0,3874815	0,37091	600,5159	3,269829	0	119	946	811						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		818	683	48216130	1007075565
48236	16:01:21.673	00:00:48.236	2420	922,4087	825,5154	0,7056757	0,3552446	602,8718	3,472749	0	961,0684	793,0528	0,3873817	0,3711251	600,5159	3,251901	0	119	942	809						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		814	681	48236128	1007095563
48256	16:01:21.693	00:00:48.256	2421	934,6003	826,2559	0,7055869	0,3553383	603,7829	3,469472	0	950,4575	794,9146	0,3872713	0,3713344	598,3119	3,291445	0	119	943	811						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		815	683	48256007	1007115442
48276	16:01:21.713	00:00:48.275	2422	931,0416	839,6714	0,7054456	0,3554076	603,7829	3,511041	0	960,3156	810,039	0,3871777	0,3715289	598,3119	3,271672	0	119	946	825						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		818	697	48275977	1007135412
48296	16:01:21.733	00:00:48.295	2423	960,6675	820,3331	0,705337	0,3554485	603,7829	3,339504	0	943,8959	805,8067	0,3870768	0,371547	598,3119	3,311188	0	119	952	813						texte_9.png	0	1024	768	128	128	818	692	239	0	Content		824	685	48295848	1007155283
48316	16:01:21.753	00:00:48.315	2424	938,6764	850,0266	0,7052289	0,3554828	603,7829	3,49786	0	911,5595	834,9553	0,3869472	0,371536	598,3119	3,39725	0	120	925	842						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		797	714	48315752	1007175187
48336	16:01:21.773	00:00:48.335	2425	883,9495	836,3511	0,7056755	0,3553777	603,7829	3,512687	0	873,5516	819,2977	0,3874412	0,3714121	598,3119	3,302313	0	120	879	828						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		751	700	48335713	1007195148
48356	16:01:21.793	00:00:48.355	2426	890,1516	834,2437	0,7060562	0,3551455	603,7971	3,466723	0	850,4838	824,6017	0,3879356	0,3710434	598,843	3,330886	0	120	870	829						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		742	701	48355719	1007215154
48376	16:01:21.813	00:00:48.375	2427	834,7842	838,1636	0,706102	0,3550064	603,7971	3,594382	0	853,3909	845,2159	0,3879037	0,3707977	598,843	3,318566	0	120	844	842						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		716	714	48375616	1007235051
48395	16:01:21.832	00:00:48.395	2428	850,7563	834,6637	0,7061531	0,354756	603,7971	3,50717	0	857,6404	824,8171	0,3879229	0,3707106	598,843	3,258087	0	120	854	830						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		726	702	48395468	1007254903
48415	16:01:21.852	00:00:48.415	2429	843,1367	868,4144	0,7062171	0,3545754	603,7971	3,657527	0	844,3338	829,5761	0,3879403	0,3706801	598,843	3,206214	0	120	844	849						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		716	721	48415486	1007274921
48435	16:01:21.872	00:00:48.435	2430	857,2561	837,3868	0,7062481	0,3546017	603,7971	3,429185	0	857,1616	819,5492	0,3879559	0,3706664	598,843	3,289616	0	120	857	828						texte_9.png	0	1024	768	128	128	727	701	179	0	Content		729	700	48435329	1007294764
