Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
217	16:07:47.748	00:00:00.217	10	706,9921	453,1664	0,6491973	0,4882938	589,7948	3,521412	0	720,1843	457,3737	0,358472	0,4813583	593,3143	3,540724	0	0	714	455						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		586	327	217499	1393171374
237	16:07:47.768	00:00:00.237	11	724,7852	445,0341	0,6492301	0,4888535	589,7948	3,54053	0	727,0437	462,9384	0,3584291	0,4820098	593,3143	3,554424	0	0	726	454						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		598	326	237441	1393191316
257	16:07:47.788	00:00:00.257	12	720,1328	446,1564	0,6492599	0,4890921	589,7948	3,539837	0	728,437	463,1972	0,3584432	0,4822561	593,3143	3,535786	0	0	724	455						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		596	327	257468	1393211343
277	16:07:47.808	00:00:00.277	13	718,0924	438,8498	0,6493455	0,4893437	593,2214	3,554275	0	730,3629	466,899	0,3585139	0,4824754	592,3445	3,539668	0	0	724	453						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		596	325	277308	1393231183
297	16:07:47.828	00:00:00.297	14	716,8976	432,7811	0,6494138	0,4892149	593,2214	3,546237	0	713,8103	467,0576	0,3585625	0,4824039	592,3445	3,516765	0	0	715	450						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		587	322	297220	1393251095
317	16:07:47.848	00:00:00.317	15	714,8288	425,3749	0,6494669	0,4891512	593,2214	3,549748	0	719,6295	468,0474	0,3586177	0,4823671	592,3445	3,472391	0	0	717	447						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		589	319	317172	1393271047
337	16:07:47.868	00:00:00.337	16	714,0826	444,2874	0,6494797	0,4890813	593,2214	3,524922	0	714,504	476,7126	0,358618	0,4822761	592,3445	3,549848	0	0	714	461						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		586	333	337051	1393290926
357	16:07:47.888	00:00:00.357	17	709,4925	437,6829	0,6494321	0,4890205	593,2214	3,505622	0	715,5618	451,9213	0,3585805	0,4822346	592,3445	3,465442	0	0	713	445						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		585	317	357072	1393310947
377	16:07:47.908	00:00:00.376	18	710,1437	437,5535	0,6493505	0,489026	593,9428	3,50188	0	715,9484	453,4027	0,3585168	0,4822461	592,3879	3,48919	0	0	713	445						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		585	317	376919	1393330794
397	16:07:47.928	00:00:00.396	19	717,3301	435,7973	0,6491893	0,4890732	593,9428	3,533461	0	725,5521	470,0453	0,3584031	0,482281	592,3879	3,543758	0	0	721	453						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		593	325	396917	1393350792
417	16:07:47.948	00:00:00.416	20	705,8642	422,9033	0,6489414	0,4891957	593,9428	3,543326	0	723,7666	468,8732	0,3582236	0,4824691	592,3879	3,519102	0	0	715	446						texte_1.png	0	1024	768	128	128	587	317	437	0	Content		587	318	416824	1393370699
437	16:07:47.968	00:00:00.436	21	675,4162	419,0282	0,6494233	0,4896896	593,9428	3,630669	0	701,6198	445,1064	0,3585509	0,4828047	592,3879	3,524668	0	1	689	432						texte_1.png	0	1024	768	128	128	403	313	199	0	Content		561	304	436788	1393390663
457	16:07:47.988	00:00:00.456	22	507,8459	435,888	0,6510597	0,4897548	593,9428	3,587448	0	528,2673	446,8968	0,3604411	0,4830457	592,3879	3,467163	0	1	518	441						texte_1.png	0	1024	768	128	128	403	313	199	0	Content		390	313	456710	1393410585
477	16:07:48.008	00:00:00.476	23	477,573	433,4316	0,6509489	0,4899882	591,5884	3,604907	0	505,4767	449,3224	0,3604267	0,4832808	593,7437	3,457443	0	1	492	441						texte_1.png	0	1024	768	128	128	403	313	199	0	Content		364	313	476674	1393430549
497	16:07:48.028	00:00:00.496	24	529,392	442,1032	0,6509717	0,490003	591,5884	3,539633	0	531,6819	441,4702	0,3604852	0,4833263	593,7437	3,496419	0	1	531	442						texte_1.png	0	1024	768	128	128	403	313	199	0	Content		403	314	496575	1393450450
516	16:07:48.047	00:00:00.516	25	529,2379	439,7003	0,6511056	0,4900294	591,5884	3,520226	0	534,56	445,5976	0,3605641	0,4832915	593,7437	3,482694	0	1	532	443						texte_1.png	0	1024	768	128	128	403	313	199	0	Content		404	315	516496	1393470371
