Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
46977	16:08:34.508	00:00:46.977	2356	899,3243	706,8259	0,6437804	0,4915555	607,5445	3,340979	0	882,5178	731,5246	0,36257	0,4804854	610,6248	3,558573	0	95	891	719						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		763	591	46977220	1439931095
46997	16:08:34.528	00:00:46.997	2357	975,9844	781,3083	0,644145	0,4922526	610,4893	3,356144	0	944,834	783,4089	0,3622757	0,4814094	608,3206	3,546131	0	95	960	782						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		832	654	46997077	1439950952
47017	16:08:34.548	00:00:47.016	2358	859,0792	728,7579	0,644005	0,4926949	610,4893	3,383944	0	905,2965	711,2421	0,3620274	0,4818221	608,3206	3,515266	0	95	882	720						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		754	592	47016955	1439970830
47037	16:08:34.568	00:00:47.036	2359	870,8229	717,0685	0,643972	0,4927878	610,4893	3,406331	0	880,7964	710,1347	0,3617603	0,4819404	608,3206	3,522527	0	95	876	714						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		748	586	47036941	1439990816
47057	16:08:34.588	00:00:47.056	2360	874,2581	706,422	0,6439396	0,4927577	610,4893	3,355161	0	878,2211	729,7248	0,3615836	0,4816579	608,3206	3,527905	0	95	876	718						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		748	590	47056803	1440010678
47077	16:08:34.608	00:00:47.076	2361	865,7885	697,8317	0,6439759	0,4926467	610,4893	3,373944	0	892,4337	726,2804	0,3614634	0,4813092	608,3206	3,561075	0	95	879	712						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		751	584	47076828	1440030703
47097	16:08:34.628	00:00:47.096	2362	864,6933	689,5104	0,6441441	0,4922622	609,9218	3,368492	0	891,566	722,1234	0,3615271	0,4810938	608,227	3,569339	0	95	878	706						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		750	578	47096684	1440050559
47117	16:08:34.648	00:00:47.116	2363	863,2965	758,9756	0,6443652	0,4918672	609,9218	3,590503	0	855,0863	749,9983	0,3616813	0,4806582	608,227	3,574517	0	95	859	754						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		731	626	47116690	1440070565
47137	16:08:34.668	00:00:47.136	2364	865,4515	740,0939	0,6447073	0,4917782	609,9218	3,537935	0	869,8762	740,9973	0,3619245	0,4803853	608,227	3,589132	0	95	868	741						texte_9.png	0	1024	768	128	128	748	590	199	0	Content		740	613	47136548	1440090423
47157	16:08:34.688	00:00:47.156	2365	834,2715	672,1479	0,6454542	0,4911392	609,9218	3,380208	0	861,5679	723,5027	0,3625888	0,4796784	608,227	3,571984	0	96	848	698						texte_9.png	0	1024	768	128	128	461	253	179	0	Content		720	570	47156566	1440110441
47176	16:08:34.707	00:00:47.176	2366	580,1978	403,0385	0,6474023	0,4884375	609,9218	3,430197	0	628,249	409,9267	0,3654985	0,4771303	608,227	3,549448	0	96	604	406						texte_9.png	0	1024	768	128	128	461	253	179	0	Content		476	278	47176407	1440130282
47196	16:08:34.727	00:00:47.196	2367	552,6484	351,3751	0,6479985	0,4880946	608,2992	3,471266	0	613,965	369,167	0,366157	0,476739	609,7883	3,55916	0	96	583	360						texte_9.png	0	1024	768	128	128	461	253	179	0	Content		455	232	47196284	1440150159
47216	16:08:34.747	00:00:47.216	2368	572,0681	362,5089	0,6480144	0,4887849	608,2992	3,473767	0	599,8027	396,366	0,3658784	0,4773355	609,7883	3,633326	0	96	586	379						texte_9.png	0	1024	768	128	128	461	253	179	0	Content		458	251	47216294	1440170169
47236	16:08:34.767	00:00:47.236	2369	572,7451	376,4935	0,6479704	0,4890077	608,2992	3,439943	0	600,6504	394,0493	0,3655489	0,4774734	609,7883	3,591562	0	96	587	385						texte_9.png	0	1024	768	128	128	461	253	179	0	Content		459	257	47236274	1440190149
