Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
61459	15:17:20.115	00:01:01.459	3082	563,3963	206,5581	0,6402051	0,3899675	582,7014	3,479795	0	565,2717	202,3817	0,3576226	0,3957339	582,3222	3,275101	0	84	564	204						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		439	199	61459272	4855097222	
61479	15:17:20.135	00:01:01.479	3083	558,8667	206,7388	0,6408145	0,3891498	582,7014	3,521316	0	567,7322	205,4886	0,3581777	0,394771	582,3222	3,321013	0	84	563	206						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		438	201	61479212	4855117162	
61499	15:17:20.155	00:01:01.499	3084	563,4364	200,4591	0,6413986	0,3889794	582,7014	3,49093	0	561,0068	192,2855	0,3587029	0,3945202	582,3222	3,239667	0	84	562	196						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		437	191	61499126	4855137076	
61519	15:17:20.175	00:01:01.519	3085	562,1243	194,237	0,6416858	0,3889331	584,0155	3,49651	0	562,2112	187,1067	0,3591515	0,3943172	583,2142	3,263537	0	84	562	191						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		437	186	61519109	4855157059	
61539	15:17:20.195	00:01:01.539	3086	573,5575	199,9754	0,6418627	0,3888952	584,0155	3,475753	0	564,7621	196,9169	0,3593892	0,3941083	583,2142	3,294747	0	84	569	198						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		444	193	61539091	4855177041	
61559	15:17:20.215	00:01:01.558	3087	564,7445	204,9772	0,6420944	0,3887141	584,0155	3,477271	0	568,3489	206,4705	0,3597564	0,3938002	583,2142	3,26018	0	84	567	206						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		442	201	61558991	4855196941	
61579	15:17:20.235	00:01:01.578	3088	561,0581	208,5521	0,6421772	0,3881352	584,0155	3,489373	0	565,9771	205,4586	0,3599826	0,3933051	583,2142	3,285722	0	84	564	207						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		439	202	61578848	4855216798	
61599	15:17:20.255	00:01:01.598	3089	561,6511	204,9971	0,6422225	0,3873456	584,0155	3,505126	0	574,5454	199,9845	0,3601518	0,3925357	583,2142	3,339425	0	84	568	202						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		443	197	61598824	4855236774	
61619	15:17:20.275	00:01:01.618	3090	563,3893	203,9584	0,641481	0,3864219	584,705	3,515347	0	575,6432	200,3341	0,3599056	0,3913114	584,4443	3,339011	0	84	570	202						G_Page_1.png	0	1028	964	125	5	440	198	219	0	Content		445	197	61618779	4855256729	
61639	15:17:20.295	00:01:01.638	3091	601,9848	180,9651	0,6413988	0,3855516	584,705	3,493794	0	608,3266	167,9283	0,3598051	0,3902704	584,4443	3,298961	0	85	605	174						G_Page_1.png	0	1028	964	125	5	513	166	718	0	Content		480	169	61638716	4855276666	
