Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
116152	15:18:14.808	00:01:56.151	5826	665,9568	214,9415	0,6242126	0,3774019	584,9677	3,359725	0	665,9567	218,0054	0,3427548	0,3850869	585,5639	3,125071	0	162	666	216						O_Page_1.png	0	1028	964	125	5	543	210	159	0	Content		541	211	116151689	4909789639	
116172	15:18:14.828	00:01:56.171	5827	674,2199	207,8361	0,624184	0,3762242	584,9677	3,352878	0	670,5145	222,2129	0,3426402	0,3840156	585,5639	3,089702	0	162	672	215						O_Page_1.png	0	1028	964	125	5	543	210	159	0	Content		547	210	116171503	4909809453	
116192	15:18:14.848	00:01:56.191	5828	659,3846	216,3872	0,624289	0,3747349	584,9677	3,385621	0	669,6898	213,46	0,3426658	0,3827027	585,5639	3,110024	0	162	665	215						O_Page_1.png	0	1028	964	125	5	543	210	159	0	Content		540	210	116191523	4909829473	
116212	15:18:14.868	00:01:56.211	5829	661,8749	214,9093	0,6245779	0,3737518	584,8332	3,39122	0	665,6768	215,4709	0,3428598	0,3817454	584,816	3,092998	0	162	664	215						O_Page_1.png	0	1028	964	125	5	543	210	159	0	Content		539	210	116211543	4909849493	
116231	15:18:14.887	00:01:56.231	5830	668,1719	217,6298	0,6249503	0,373573	584,8332	3,3993	0	668,5778	217,6503	0,3432406	0,3815156	584,816	3,188976	0	162	668	218						O_Page_1.png	0	1028	964	125	5	543	210	159	0	Content		543	213	116231454	4909869404	
116251	15:18:14.907	00:01:56.251	5831	664,2869	208,9322	0,6253662	0,3741541	584,8332	3,328009	0	665,2657	201,5397	0,3437568	0,3820955	584,816	3,15677	0	163	665	205						O_Page_1.png	0	1028	964	125	5	466	175	419	0	Content		540	200	116251333	4909889283	
116271	15:18:14.927	00:01:56.271	5832	595,9659	175,882	0,6260815	0,3753787	584,8332	3,360433	0	582,5609	198,8736	0,3448531	0,3832577	584,816	3,178953	0	163	589	187						O_Page_1.png	0	1028	964	125	5	466	175	419	0	Content		464	182	116271263	4909909213	
116291	15:18:14.947	00:01:56.291	5833	591,1838	179,148	0,6259181	0,3768406	584,8332	3,377753	0	600,2455	175,4932	0,3446235	0,3848218	584,816	3,161253	0	163	596	177						O_Page_1.png	0	1028	964	125	5	466	175	419	0	Content		471	172	116291131	4909929081	
116311	15:18:14.967	00:01:56.311	5834	588,8856	186,9915	0,625643	0,3777634	583,4207	3,340638	0	618,8166	164,1675	0,3442455	0,3858088	585,8807	3,175693	0	163	604	176						O_Page_1.png	0	1028	964	125	5	466	175	419	0	Content		479	171	116311201	4909949151	
116331	15:18:14.987	00:01:56.331	5835	597,2744	183,5116	0,6251816	0,3780956	583,4207	3,364082	0	602,5717	172,8307	0,3439352	0,3860055	585,8807	3,184454	0	163	600	178						O_Page_1.png	0	1028	964	125	5	466	175	419	0	Content		475	173	116331121	4909969071	
