Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
17	15:29:31.517	00:00:00.017	0	573,4281	179,1729	0,626265	0,5368193	753,6641	3,459064	0	589,7148	218,3322	0,3841388	0,5462038	756,309	3,881011	0	1	582	199						No media	0	1280	1024	0	0	598	232	556	0	Content		582	199	17411	4565253135	
37	15:29:31.537	00:00:00.037	1	582,2209	219,9778	0,6266737	0,5362491	753,6641	3,592895	0	603,3152	242,4271	0,3845352	0,5456545	756,309	3,797917	0	1	593	231						No media	0	1280	1024	0	0	598	232	556	0	Content		593	231	37288	4565273012	
57	15:29:31.557	00:00:00.057	2	587,151	197,919	0,6269594	0,5355187	753,6641	3,421602	0	609,1497	259,8973	0,3847931	0,5449107	756,309	3,86426	0	1	598	229						No media	0	1280	1024	0	0	598	232	556	0	Content		598	229	57274	4565292998	
77	15:29:31.577	00:00:00.077	3	581,3005	225,1904	0,6271625	0,5348629	750,9444	3,441631	0	600,7051	259,4083	0,3850142	0,5444075	754,8973	3,837973	0	1	591	242						No media	0	1280	1024	0	0	598	232	556	0	Content		591	242	77142	4565312866	
97	15:29:31.597	00:00:00.097	4	600,7158	203,6366	0,62733	0,5342646	750,9444	3,531698	0	582,8334	264,386	0,3851244	0,5438001	754,8973	3,874484	0	1	592	234						No media	0	1280	1024	0	0	598	232	556	0	Content		592	234	97161	4565332885	
117	15:29:31.617	00:00:00.117	5	613,2015	243,2286	0,6274526	0,5341748	750,9444	3,517761	0	587,9463	264,2106	0,3852085	0,5437396	754,8973	3,830397	0	1	601	254						No media	0	1280	1024	0	0	598	232	556	0	Content		601	254	117023	4565352747	
137	15:29:31.637	00:00:00.137	6	595,5824	190,8072	0,6275895	0,5345433	750,9444	3,472815	0	597,2944	238,2668	0,3853391	0,5440007	754,8973	3,877475	0	1	596	215						No media	0	1280	1024	0	0	598	232	556	0	Content		596	215	137043	4565372767	
157	15:29:31.657	00:00:00.156	7	604,144	194,819	0,6277976	0,53527	750,9444	3,535464	0	581,2524	279,1898	0,3855092	0,5447237	754,8973	3,850431	0	1	593	237						No media	0	1280	1024	0	0	598	232	556	0	Content		593	237	156936	4565392660	
177	15:29:31.677	00:00:00.176	8	606,3054	197,4579	0,6280754	0,5363114	750,8748	3,517257	0	586,4137	268,022	0,3857608	0,5456995	757,4925	3,850955	0	1	596	233						No media	0	1280	1024	0	0	598	232	556	0	Content		596	233	176901	4565412625	
197	15:29:31.697	00:00:00.196	9	609,7046	238,2082	0,6283805	0,5372395	750,8748	3,392873	0	590,0927	226,5763	0,3860802	0,5465389	757,4925	3,783552	0	1	600	232						No media	0	1280	1024	0	0	598	232	556	0	Content		600	232	196778	4565432502	
217	15:29:31.717	00:00:00.216	10	588,185	208,5632	0,6287024	0,5381245	750,8748	3,430239	0	588,9218	237,0508	0,3863501	0,5472646	757,4925	3,786722	0	1	589	223						No media	0	1280	1024	0	0	598	232	556	0	Content		589	223	216756	4565452480	
237	15:29:31.737	00:00:00.236	11	602,4852	212,9097	0,6289563	0,5387136	750,8748	3,35668	0	582,0146	251,4249	0,386677	0,5476956	757,4925	3,78126	0	1	592	232						No media	0	1280	1024	0	0	598	232	556	0	Content		592	232	236649	4565472373	
257	15:29:31.757	00:00:00.256	12	593,4599	230,7406	0,6291559	0,5389305	750,8748	3,404501	0	602,7767	277,1175	0,3868909	0,5479296	757,4925	3,853428	0	1	598	254						No media	0	1280	1024	0	0	598	232	556	0	Content		598	254	256641	4565492365	
277	15:29:31.777	00:00:00.276	13	599,6799	217,274	0,6292072	0,5388923	750,795	3,405412	0	602,1025	292,2385	0,3870243	0,5479012	756,6075	3,855095	0	1	601	255						No media	0	1280	1024	0	0	598	232	556	0	Content		601	255	276511	4565512235	
293	15:29:31.793																				ImageStart	8	0	0	001_AnLand_3_1200x1024-01.png																	
296	15:29:31.796	00:00:00.296	14	597,7252	239,7946	0,6291765	0,5384289	750,795	3,405599	0	605,572	245,6602	0,3870066	0,5475626	756,6075	3,787987	0	1	602	243						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		562	243	296495	4565532219	
316	15:29:31.816	00:00:00.316	15	609,4884	244,7683	0,6289933	0,5379328	750,795	3,413317	0	599,6196	262,8684	0,3868463	0,5472323	756,6075	3,774624	0	1	605	254						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		565	254	316360	4565552084	
336	15:29:31.836	00:00:00.336	16	588,536	177,9263	0,6286924	0,5374648	750,795	3,40048	0	621,3126	240,8184	0,3865564	0,5468172	756,6075	3,816278	0	1	605	209						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		565	209	336239	4565571963	
356	15:29:31.856	00:00:00.356	17	570,7651	207,3749	0,6282014	0,5370791	750,795	3,427729	0	602,2001	216,7147	0,3861463	0,5466255	756,6075	3,736764	0	1	586	212						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		546	212	356237	4565591961	
376	15:29:31.876	00:00:00.376	18	569,2468	184,4767	0,6276649	0,5369918	753,2418	3,439092	0	609,8118	211,4786	0,3856594	0,546657	758,8576	3,74701	0	1	590	198						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		550	198	376250	4565611974	
396	15:29:31.896	00:00:00.396	19	598,7827	213,825	0,6271446	0,5370088	753,2418	3,433026	0	602,8321	232,5228	0,3851649	0,5467798	758,8576	3,783316	0	1	601	223						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		561	223	396089	4565631813	
