Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
293	15:29:31.793																				ImageStart	8	0	0	001_AnLand_3_1200x1024-01.png																	
296	15:29:31.796	00:00:00.296	14	597,7252	239,7946	0,6291765	0,5384289	750,795	3,405599	0	605,572	245,6602	0,3870066	0,5475626	756,6075	3,787987	0	1	602	243						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		562	243	296495	4565532219	
316	15:29:31.816	00:00:00.316	15	609,4884	244,7683	0,6289933	0,5379328	750,795	3,413317	0	599,6196	262,8684	0,3868463	0,5472323	756,6075	3,774624	0	1	605	254						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		565	254	316360	4565552084	
336	15:29:31.836	00:00:00.336	16	588,536	177,9263	0,6286924	0,5374648	750,795	3,40048	0	621,3126	240,8184	0,3865564	0,5468172	756,6075	3,816278	0	1	605	209						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		565	209	336239	4565571963	
356	15:29:31.856	00:00:00.356	17	570,7651	207,3749	0,6282014	0,5370791	750,795	3,427729	0	602,2001	216,7147	0,3861463	0,5466255	756,6075	3,736764	0	1	586	212						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		546	212	356237	4565591961	
376	15:29:31.876	00:00:00.376	18	569,2468	184,4767	0,6276649	0,5369918	753,2418	3,439092	0	609,8118	211,4786	0,3856594	0,546657	758,8576	3,74701	0	1	590	198						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		550	198	376250	4565611974	
396	15:29:31.896	00:00:00.396	19	598,7827	213,825	0,6271446	0,5370088	753,2418	3,433026	0	602,8321	232,5228	0,3851649	0,5467798	758,8576	3,783316	0	1	601	223						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		561	223	396089	4565631813	
416	15:29:31.916	00:00:00.415	20	589,1904	210,3311	0,6266319	0,5371701	753,2418	3,417744	0	605,9934	236,58	0,3846471	0,5471233	758,8576	3,694327	0	1	598	223						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		558	223	415968	4565651692	
436	15:29:31.936	00:00:00.435	21	598,8741	199,7671	0,6261503	0,5374134	753,2418	3,383628	0	564,6486	258,2821	0,3841783	0,5473916	758,8576	3,709942	0	1	582	229						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		542	229	435988	4565671712	
456	15:29:31.956	00:00:00.455	22	619,564	213,4531	0,6258501	0,5375457	753,2418	3,401025	0	596,5226	286,409	0,3838816	0,5475136	758,8576	3,79932	0	1	608	250						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		568	250	455962	4565691686	
476	15:29:31.976	00:00:00.475	23	617,2687	213,1244	0,6255571	0,5375797	751,4367	3,376211	0	586,9849	301,2821	0,3836077	0,5474833	757,7437	3,800798	0	1	602	257						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		562	257	475865	4565711589	
496	15:29:31.996	00:00:00.495	24	597,5168	205,4189	0,6254447	0,5372066	751,4367	3,464571	0	588,685	233,287	0,3834271	0,5471779	757,7437	3,849339	0	1	593	219						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		553	219	495701	4565731425	
516	15:29:32.016	00:00:00.515	25	606,6207	209,0634	0,6253927	0,5371352	751,4367	3,502698	0	589,0923	233,09	0,3833723	0,5469368	757,7437	3,806717	0	1	598	221						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		558	221	515725	4565751449	
536	15:29:32.036	00:00:00.535	26	622,5903	233,7807	0,6253691	0,5372106	751,4367	3,575083	0	601,8815	222,1199	0,3832919	0,546912	757,7437	3,861114	0	1	612	228						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	558	232	556	0	Content		572	228	535629	4565771353	
556	15:29:32.056	00:00:00.555	27	520,2652	252,8491	0,6258716	0,5379097	751,4367	3,580585	0	521,0701	233,1356	0,3838625	0,5473101	757,7437	3,9008	0	2	521	243						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		481	243	555596	4565791320	
575	15:29:32.075	00:00:00.575	28	524,0697	275,5172	0,6257748	0,5384634	747,0098	3,56559	0	518,8007	228,5415	0,3837458	0,5476229	758,0004	3,898658	0	2	521	252						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		481	252	575498	4565811222	
595	15:29:32.095	00:00:00.595	29	507,0755	236,4254	0,6254929	0,5387017	747,0098	3,452622	0	499,9879	318,9783	0,38338	0,5478846	758,0004	4,005897	0	2	504	278						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		464	278	595463	4565831187	
615	15:29:32.115	00:00:00.615	30	523,6705	265,3254	0,6251419	0,5388756	747,0098	3,389278	0	493,5757	280,8193	0,3829128	0,5482204	758,0004	3,928191	0	2	509	273						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		469	273	615336	4565851060	
635	15:29:32.135	00:00:00.635	31	537,2646	302,3477	0,6245984	0,5389577	747,0098	3,542403	0	528,6423	246,6353	0,3823498	0,5484007	758,0004	3,751589	0	2	533	274						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		493	274	635366	4565871090	
655	15:29:32.155	00:00:00.655	32	503,322	230,5212	0,6240466	0,5389967	747,0098	3,439677	0	496,261	259,7842	0,3817722	0,5484632	758,0004	3,798376	0	2	500	245						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		460	245	655199	4565890923	
675	15:29:32.175	00:00:00.675	33	515,5641	257,0149	0,6236251	0,5391467	745,7278	3,439472	0	508,2682	244,2257	0,3813123	0,5485618	756,4296	3,83743	0	2	512	251						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		472	251	675250	4565910974	
695	15:29:32.195	00:00:00.695	34	508,5913	280,3927	0,6233402	0,5390387	745,7278	3,298946	0	529,2285	279,2027	0,3810535	0,5484897	756,4296	3,82021	0	2	519	280						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		479	280	695095	4565930819	
715	15:29:32.215	00:00:00.714	35	505,5566	228,502	0,6234033	0,5389572	745,7278	3,242288	0	503,0897	272,7076	0,3810923	0,5482848	756,4296	3,650533	0	2	504	251						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		464	251	714959	4565950683	
735	15:29:32.235	00:00:00.734	36	516,4446	289,4039	0,6237583	0,5387865	745,7278	3,278735	0	516,2592	262,0262	0,3813846	0,5478087	756,4296	3,747661	0	2	516	276						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	476	257	199	0	Content		476	276	734995	4565970719	
755	15:29:32.255	00:00:00.754	37	565,7136	263,4789	0,6240854	0,5385465	745,7278	3,244276	0	549,1097	249,7493	0,3818521	0,5472538	756,4296	3,642735	0	3	557	257						001_AnLand_3_1200x1024-01.png	0	1200	1024	40	0	511	245	259	0	Content		517	257	754941	4565990665	
