Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
40272	15:01:18.834	00:00:40.272	2019	666,3016	723,3853	0,6779462	0,5191106	567,8766	4,244137	0	668,4031	725,3226	0,3797157	0,5056473	563,0621	4,344003	0	94	667	724						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		667	724	40272013	2872678219
40292	15:01:18.854	00:00:40.291	2020	658,1597	782,3625	0,6770485	0,5203399	565,0632	4,054632	0	649,6284	798,5139	0,3787723	0,5070495	563,0648	4,137176	0	94	654	790						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		654	790	40291868	2872698074
40312	15:01:18.874	00:00:40.311	2021	664,5591	830,1166	0,6763549	0,5217156	571,7726	4,219317	0	686,7412	864,3002	0,3780085	0,5087264	570,4991	4,466932	0	94	676	847						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		676	847	40311900	2872718106
40332	15:01:18.894	00:00:40.331	2022	655,9451	778,7153	0,6758615	0,5226989	571,7726	4,125926	0	654,7681	780,6857	0,3773856	0,5101449	570,4991	4,14234	0	94	655	780						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		655	780	40331741	2872737947
40352	15:01:18.914	00:00:40.351	2023	665,3551	778,5311	0,6754826	0,5231777	571,7726	4,070318	0	655,5004	787,257	0,376838	0,5108979	570,4991	4,146238	0	94	660	783						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		660	783	40351729	2872757935
40372	15:01:18.934	00:00:40.371	2024	655,563	787,1073	0,6750717	0,5229203	571,7726	4,124668	0	657,3536	793,1189	0,376293	0,5108629	570,4991	4,152637	0	94	656	790						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		656	790	40371642	2872777848
40392	15:01:18.954	00:00:40.391	2025	670,9366	791,0405	0,67467	0,5223545	571,7726	4,134975	0	659,8526	788,658	0,3757353	0,5105632	570,4991	4,098913	0	94	665	790						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		665	790	40391602	2872797808
40411	15:01:18.973	00:00:40.411	2026	669,0063	795,5655	0,674041	0,522333	571,4915	4,119565	0	655,8759	795,5717	0,375005	0,5104088	567,1468	4,075696	0	94	662	796						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		662	796	40411478	2872817684
40431	15:01:18.993	00:00:40.431	2027	672,0284	784,0986	0,6732293	0,5225839	571,4915	4,076468	0	659,3827	793,6097	0,3740613	0,5107598	567,1468	4,136485	0	94	666	789						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		666	789	40431499	2872837705
40451	15:01:19.013	00:00:40.451	2028	669,3572	781,9728	0,6722181	0,5233563	571,4915	4,138577	0	660,7892	789,215	0,3729726	0,5119362	567,1468	4,139029	0	94	665	786						Ungleich.jpg	0	1280	1024	0	0	669	807	578	0	Content		665	786	40451352	2872857558
