Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
10	15:00:38.572	00:00:00.010	0	652,4197	483,514	0,6834826	0,5205956	574,8821	3,94884	0	667,8936	457,1612	0,3861535	0,5139199	570,509	4,009401	0	1	660	470						No media	0	1280	1024	0	0	658	460	508	0	Content		660	470	10032	2832416238
30	15:00:38.592	00:00:00.029	1	647,4207	466,1808	0,6832091	0,5204598	574,8821	3,940698	0	663,3588	448,8519	0,3858249	0,5138174	570,509	4,076805	0	1	655	458						No media	0	1280	1024	0	0	658	460	508	0	Content		655	458	29993	2832436199
50	15:00:38.612	00:00:00.049	2	653,2593	465,2478	0,68296	0,5200883	574,8821	3,934176	0	666,4983	454,5143	0,3855701	0,5135714	570,509	4,053463	0	1	660	460						No media	0	1280	1024	0	0	658	460	508	0	Content		660	460	49897	2832456103
70	15:00:38.632	00:00:00.069	3	652,2524	470,8042	0,6827425	0,5198466	575,0013	3,942553	0	667,1878	451,0415	0,385367	0,5134461	570,3358	4,040559	0	1	660	461						No media	0	1280	1024	0	0	658	460	508	0	Content		660	461	69870	2832476076
90	15:00:38.652	00:00:00.089	4	649,1686	466,8963	0,6826136	0,5197697	575,0013	3,966692	0	669,9594	445,0691	0,3852379	0,5133894	570,3358	4,066111	0	1	660	456						No media	0	1280	1024	0	0	658	460	508	0	Content		660	456	89783	2832495989
110	15:00:38.672	00:00:00.109	5	643,6179	472,3768	0,6825438	0,5199096	575,0013	3,955082	0	650,7336	458,3391	0,3851286	0,5137297	570,3358	3,959838	0	1	647	465						No media	0	1280	1024	0	0	658	460	508	0	Content		647	465	109740	2832515946
130	15:00:38.692	00:00:00.129	6	649,0003	480,0817	0,6825213	0,5203225	575,0013	3,930591	0	665,8556	457,0247	0,3850892	0,5140582	570,3358	4,034208	0	1	657	469						No media	0	1280	1024	0	0	658	460	508	0	Content		657	469	129632	2832535838
170	15:00:38.732	00:00:00.169	7	648,3962	459,0869	0,6825354	0,5210135	575,0013	3,961255	0	661,6354	460,3575	0,3850685	0,5148513	570,3358	3,983543	0	1	655	460						No media	0	1280	1024	0	0	658	460	508	0	Content		655	460	169543	2832575749
189	15:00:38.751	00:00:00.189	8	646,6118	465,6722	0,682469	0,52113	573,7214	3,940424	0	655,834	459,914	0,3849727	0,5149418	570,467	4,017123	0	1	651	463						No media	0	1280	1024	0	0	658	460	508	0	Content		651	463	189498	2832595704
209	15:00:38.771	00:00:00.209	9	652,9647	468,8753	0,6823535	0,5208216	573,7214	3,859703	0	662,5502	470,4749	0,3848749	0,5148023	570,467	3,971336	0	1	658	470						No media	0	1280	1024	0	0	658	460	508	0	Content		658	470	209379	2832615585
