Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
4	15:06:17.347	00:00:00.004	0	617,8041	464,2634	0,5996875	0,4671047	662,9777	4,327357	0	631,6653	426,4985	0,327432	0,4593348	662,7978	4,27778	0	0	625	445						No media	0	1280	1024	0	0	625	438	303	0	Content		625	445	4389	3171174384	
24	15:06:17.367	00:00:00.024	1	620,0323	472,3056	0,600052	0,4675145	665,1337	4,353001	0	631,2338	432,5946	0,3278278	0,4596415	660,9258	4,271319	0	0	626	452						No media	0	1280	1024	0	0	625	438	303	0	Content		626	452	24379	3171194374	
44	15:06:17.387	00:00:00.044	2	599,5186	446,2246	0,6004282	0,4677625	665,1337	4,461616	0	641,2253	405,4708	0,328227	0,4599356	660,9258	4,267693	0	0	620	426						No media	0	1280	1024	0	0	625	438	303	0	Content		620	426	44284	3171214279	
64	15:06:17.407	00:00:00.064	3	636,6069	437,7253	0,6008558	0,4680198	665,1337	4,380915	0	631,0435	428,0235	0,3286433	0,460053	660,9258	4,272479	0	0	634	433						No media	0	1280	1024	0	0	625	438	303	0	Content		634	433	64302	3171234297	
84	15:06:17.427	00:00:00.084	4	618,5582	431,9192	0,6012233	0,4685068	665,1337	4,392916	0	636,4092	437,6609	0,3290361	0,4601075	660,9258	4,288395	0	0	627	435						No media	0	1280	1024	0	0	625	438	303	0	Content		627	435	84129	3171254124	
104	15:06:17.447	00:00:00.104	5	640,2887	438,9886	0,6015388	0,4686414	665,1337	4,442335	0	625,1103	451,1286	0,3293724	0,4601473	660,9258	4,36159	0	0	633	445						No media	0	1280	1024	0	0	625	438	303	0	Content		633	445	104127	3171274122	
124	15:06:17.467	00:00:00.124	6	638,5568	440,7784	0,6016887	0,4688251	663,5541	4,393271	0	625,8312	455,1231	0,3295723	0,460307	664,4211	4,398148	0	0	632	448						No media	0	1280	1024	0	0	625	438	303	0	Content		632	448	124010	3171294005	
144	15:06:17.487	00:00:00.144	7	630,2677	444,3179	0,6016986	0,4688355	663,5541	4,405664	0	612,983	432,1833	0,3296072	0,4604026	664,4211	4,367814	0	0	622	438						No media	0	1280	1024	0	0	625	438	303	0	Content		622	438	144011	3171314006	
164	15:06:17.507	00:00:00.163	8	632,7061	460,446	0,6015751	0,4689491	663,5541	4,454408	0	615,0834	425,0431	0,3294461	0,4606198	664,4211	4,321629	0	0	624	443						No media	0	1280	1024	0	0	625	438	303	0	Content		624	443	163921	3171333916	
184	15:06:17.527	00:00:00.183	9	624,4554	418,2546	0,601195	0,4688009	663,5541	4,48476	0	617,5662	433,1121	0,3291046	0,4605512	664,4211	4,429806	0	0	621	426						No media	0	1280	1024	0	0	625	438	303	0	Content		621	426	183785	3171353780	
204	15:06:17.547	00:00:00.203	10	612,2101	424,9248	0,6007442	0,4685153	663,5541	4,478462	0	618,3912	427,7556	0,3286532	0,4601442	664,4211	4,36845	0	0	615	426						No media	0	1280	1024	0	0	625	438	303	0	Content		615	426	203764	3171373759	
224	15:06:17.567	00:00:00.223	11	613,9575	420,1743	0,6002417	0,4676864	663,8282	4,473951	0	619,3857	434,8444	0,3281336	0,4596013	662,624	4,361025	0	0	617	428						No media	0	1280	1024	0	0	625	438	303	0	Content		617	428	223619	3171393614	
244	15:06:17.587	00:00:00.243	12	598,2719	443,6927	0,599764	0,4667929	663,8282	4,487153	0	625,4382	407,2069	0,3276958	0,4589666	662,624	4,340084	0	0	612	425						No media	0	1280	1024	0	0	625	438	303	0	Content		612	425	243651	3171413646	
246	15:06:17.589																				ImageStart	8	0	0	Ngleich.jpg																	
264	15:06:17.607	00:00:00.263	13	612,9719	456,0434	0,5994578	0,4661027	663,8282	4,402601	0	628,4585	431,832	0,3273468	0,4582087	662,624	4,255267	0	0	621	444						Ngleich.jpg	0	1280	1024	0	0	625	438	303	0	Content		621	444	263641	3171433636	
284	15:06:17.627	00:00:00.283	14	636,423	453,3524	0,5989552	0,4658645	663,8282	4,282071	0	637,8399	440,3436	0,3269011	0,4580881	662,624	4,269261	0	0	637	447						Ngleich.jpg	0	1280	1024	0	0	625	438	303	0	Content		637	447	283505	3171453500	
303	15:06:17.646	00:00:00.303	15	651,0107	393,0772	0,5984598	0,465981	663,8282	4,319728	0	674,6321	382,4077	0,3267385	0,4581344	662,624	4,133231	0	1	663	388						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		663	388	303472	3171473467	
323	15:06:17.666	00:00:00.323	16	662,414	386,7038	0,5984696	0,4669417	667,3082	4,379459	0	681,5797	397,012	0,3267316	0,4590152	661,6137	4,09118	0	1	672	392						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		672	392	323370	3171493365	
343	15:06:17.686	00:00:00.343	17	663,3707	395,2487	0,5983525	0,4677438	667,3082	4,207722	0	668,8602	385,7368	0,3265004	0,4597955	661,6137	4,117959	0	1	666	390						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		666	390	343217	3171513212	
363	15:06:17.706	00:00:00.363	18	679,2511	381,0827	0,5980752	0,4679308	667,3082	4,187232	0	678,985	377,6637	0,3261659	0,460074	661,6137	4,090386	0	1	679	379						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		679	379	363265	3171533260	
383	15:06:17.726	00:00:00.383	19	665,8392	382,2272	0,5976577	0,4678102	667,3082	4,094015	0	687,3511	371,1557	0,3257088	0,4600283	661,6137	4,043776	0	1	677	377						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		677	377	383073	3171553068	
403	15:06:17.746	00:00:00.403	20	666,3453	371,6668	0,5971934	0,4672758	667,3082	4,14662	0	682,9401	386,2245	0,3251218	0,45926	661,6137	3,933296	0	1	675	379						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		675	379	403120	3171573115	
423	15:06:17.766	00:00:00.422	21	665,3022	377,9246	0,5967568	0,466619	663,3528	4,07851	0	685,3088	380,5306	0,3247187	0,4588078	661,6727	3,892804	0	1	675	379						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		675	379	422966	3171592961	
443	15:06:17.786	00:00:00.442	22	655,7737	405,118	0,5964258	0,4659798	663,3528	4,069621	0	678,3509	393,5368	0,3243571	0,4581896	661,6727	3,897859	0	1	667	399						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		667	399	442950	3171612945	
463	15:06:17.806	00:00:00.462	23	654,3538	377,1379	0,5962229	0,4658088	663,3528	4,098812	0	670,377	380,3693	0,3241902	0,4580221	661,6727	3,905698	0	1	662	379						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		662	379	462832	3171632827	
483	15:06:17.826	00:00:00.482	24	664,0286	355,2697	0,5961066	0,4658124	663,3528	4,030555	0	672,7866	373,6318	0,3240774	0,4578999	661,6727	3,949382	0	1	668	364						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		668	364	482870	3171652865	
503	15:06:17.846	00:00:00.502	25	673,2695	332,8767	0,5958377	0,465211	663,3528	4,077315	0	683,804	360,6082	0,3242513	0,4572639	661,6727	3,939656	0	1	679	347						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		679	347	502722	3171672717	
523	15:06:17.866	00:00:00.522	26	672,7809	310,2471	0,5958366	0,465793	663,5598	4,076716	0	679,5959	358,2637	0,3243459	0,4577249	658,7122	3,912941	0	1	676	334						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		676	334	522746	3171692741	
543	15:06:17.886	00:00:00.542	27	682,1154	346,7298	0,5959253	0,4660465	663,5598	4,081922	0	683,7882	328,4016	0,3243511	0,4581489	658,7122	3,904455	0	1	683	338						Ngleich.jpg	0	1280	1024	0	0	673	379	259	0	Content		683	338	542564	3171712559	
563	15:06:17.906	00:00:00.562	28	646,2322	206,9743	0,5957774	0,4649293	663,5598	3,990966	0	687,3784	219,5272	0,3247231	0,4570057	658,7122	3,885936	0	2	667	213						Ngleich.jpg	0	1280	1024	0	0	661	66	359	0	Content		667	213	562618	3171732613	
582	15:06:17.925	00:00:00.582	29	654,1214	79,0667	0,595256	0,4630597	663,5598	4,04299	0	683,3969	69,48034	0,3253228	0,4553447	658,7122	3,859969	0	2	669	74						Ngleich.jpg	0	1280	1024	0	0	661	66	359	0	Content		669	74	582457	3171752452	
602	15:06:17.945	00:00:00.602	30	648,2779	80,22269	0,5955886	0,4637681	663,5598	3,823919	0	664,8168	52,76865	0,3251165	0,4560351	658,7122	3,766339	0	2	657	66						Ngleich.jpg	0	1280	1024	0	0	661	66	359	0	Content		657	66	602320	3171772315	
622	15:06:17.965	00:00:00.622	31	637,4865	80,88512	0,595666	0,4638756	663,7476	3,786613	0	659,8188	44,03487	0,3250614	0,4561028	656,6565	3,727805	0	2	649	62						Ngleich.jpg	0	1280	1024	0	0	661	66	359	0	Content		649	62	622355	3171792350	
